model,trial_number,state,cv_mean_pr_auc,cv_pr_auc_std,parameters_json,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda,param_iterations,param_depth,param_l2_leaf_reg,param_random_strength,param_bagging_temperature
xgboost,25,COMPLETE,0.9521440049512948,0.010569318312823907,"{""colsample_bytree"": 0.6005898057363378, ""gamma"": 2.390310897251647, ""learning_rate"": 0.013143006524375594, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 500, ""reg_alpha"": 0.27452651152355473, ""reg_lambda"": 0.01450194613395391, ""subsample"": 0.6949833478162221}",500.0,0.013143006524375594,6.0,3.0,0.6949833478162221,0.6005898057363378,2.390310897251647,0.27452651152355473,0.01450194613395391,,,,,
xgboost,26,COMPLETE,0.9480858268362089,0.007654753890784654,"{""colsample_bytree"": 0.6568483094319773, ""gamma"": 0.6326134468561784, ""learning_rate"": 0.03650417109223908, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 700, ""reg_alpha"": 0.08977967743876838, ""reg_lambda"": 0.005258632186196756, ""subsample"": 0.6402593094147623}",700.0,0.03650417109223908,5.0,1.0,0.6402593094147623,0.6568483094319773,0.6326134468561784,0.08977967743876838,0.005258632186196756,,,,,
xgboost,27,COMPLETE,0.9496568195140644,0.011120459905156622,"{""colsample_bytree"": 0.7713074268877631, ""gamma"": 3.4888110017288043, ""learning_rate"": 0.020243542361435, ""max_depth"": 4, ""min_child_weight"": 2, ""n_estimators"": 300, ""reg_alpha"": 0.00417795420011892, ""reg_lambda"": 0.07275670561770138, ""subsample"": 0.7488621218277183}",300.0,0.020243542361435,4.0,2.0,0.7488621218277183,0.7713074268877631,3.4888110017288043,0.00417795420011892,0.07275670561770138,,,,,
xgboost,28,COMPLETE,0.9495704865667879,0.011621544673625984,"{""colsample_bytree"": 0.7094879591581249, ""gamma"": 2.728926539233402, ""learning_rate"": 0.012939331454752826, ""max_depth"": 7, ""min_child_weight"": 4, ""n_estimators"": 800, ""reg_alpha"": 1.2020096720240943, ""reg_lambda"": 0.01665449422768519, ""subsample"": 0.852633392118407}",800.0,0.012939331454752826,7.0,4.0,0.852633392118407,0.7094879591581249,2.728926539233402,1.2020096720240943,0.01665449422768519,,,,,
xgboost,29,COMPLETE,0.948541496070583,0.00836938584262084,"{""colsample_bytree"": 0.6521577298957782, ""gamma"": 0.4490831024557218, ""learning_rate"": 0.050487284421852636, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.3680038131568544, ""reg_lambda"": 0.38164120130977064, ""subsample"": 0.7068358508758412}",500.0,0.050487284421852636,6.0,1.0,0.7068358508758412,0.6521577298957782,0.4490831024557218,0.3680038131568544,0.38164120130977064,,,,,
xgboost,30,COMPLETE,0.9518813002174031,0.010531470421387279,"{""colsample_bytree"": 0.928105658304223, ""gamma"": 2.182236489954224, ""learning_rate"": 0.03218774751742432, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_alpha"": 0.05316396000388771, ""reg_lambda"": 0.16439439379069287, ""subsample"": 0.8251867852889606}",200.0,0.03218774751742432,5.0,3.0,0.8251867852889606,0.928105658304223,2.182236489954224,0.05316396000388771,0.16439439379069287,,,,,
xgboost,31,COMPLETE,0.9524398874851807,0.010503982156502441,"{""colsample_bytree"": 0.7642814320522608, ""gamma"": 0.8050710492719759, ""learning_rate"": 0.01585179783151567, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.01915695656161531, ""reg_lambda"": 0.3350424339821932, ""subsample"": 0.9549261130424387}",400.0,0.01585179783151567,5.0,1.0,0.9549261130424387,0.7642814320522608,0.8050710492719759,0.01915695656161531,0.3350424339821932,,,,,
xgboost,32,COMPLETE,0.9522640648841296,0.010296860854417268,"{""colsample_bytree"": 0.7607831653158241, ""gamma"": 1.2258388140191152, ""learning_rate"": 0.010994451600888695, ""max_depth"": 5, ""min_child_weight"": 2, ""n_estimators"": 350, ""reg_alpha"": 0.002096073507295908, ""reg_lambda"": 0.17013337004374512, ""subsample"": 0.9433198259844737}",350.0,0.010994451600888695,5.0,2.0,0.9433198259844737,0.7607831653158241,1.2258388140191152,0.002096073507295908,0.17013337004374512,,,,,
xgboost,33,COMPLETE,0.9516880086737848,0.010676108378121697,"{""colsample_bytree"": 0.669219583303473, ""gamma"": 0.07345094005311026, ""learning_rate"": 0.020997694818856306, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 450, ""reg_alpha"": 0.000985453436587782, ""reg_lambda"": 0.043491252825971785, ""subsample"": 0.903148726894851}",450.0,0.020997694818856306,6.0,1.0,0.903148726894851,0.669219583303473,0.07345094005311026,0.000985453436587782,0.043491252825971785,,,,,
xgboost,34,COMPLETE,0.9521027071176114,0.00852240636990689,"{""colsample_bytree"": 0.7182911211194232, ""gamma"": 0.9612558714669839, ""learning_rate"": 0.015466737269575976, ""max_depth"": 4, ""min_child_weight"": 2, ""n_estimators"": 650, ""reg_alpha"": 0.010223625522651577, ""reg_lambda"": 0.10758277154525471, ""subsample"": 0.8773394984414487}",650.0,0.015466737269575976,4.0,2.0,0.8773394984414487,0.7182911211194232,0.9612558714669839,0.010223625522651577,0.10758277154525471,,,,,
xgboost,35,COMPLETE,0.9484767104485012,0.01282209330990377,"{""colsample_bytree"": 0.7954733803244599, ""gamma"": 1.483161806059162, ""learning_rate"": 0.028382619758125602, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 1.7725122096733315, ""reg_lambda"": 0.8082145614266384, ""subsample"": 0.9665812728620131}",400.0,0.028382619758125602,3.0,1.0,0.9665812728620131,0.7954733803244599,1.483161806059162,1.7725122096733315,0.8082145614266384,,,,,
xgboost,36,COMPLETE,0.9485602712031749,0.012308916134831187,"{""colsample_bytree"": 0.6851376051595531, ""gamma"": 4.268381767504691, ""learning_rate"": 0.010334334289057806, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 550, ""reg_alpha"": 0.007042564975514964, ""reg_lambda"": 0.019402611409305985, ""subsample"": 0.6346067762476312}",550.0,0.010334334289057806,6.0,2.0,0.6346067762476312,0.6851376051595531,4.268381767504691,0.007042564975514964,0.019402611409305985,,,,,
xgboost,37,COMPLETE,0.9508628175938014,0.009135806770717205,"{""colsample_bytree"": 0.756934563125491, ""gamma"": 0.30372928367324076, ""learning_rate"": 0.013556690483750916, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 550, ""reg_alpha"": 0.5239102792304452, ""reg_lambda"": 0.2533849162166126, ""subsample"": 0.6680212992540302}",550.0,0.013556690483750916,8.0,1.0,0.6680212992540302,0.756934563125491,0.30372928367324076,0.5239102792304452,0.2533849162166126,,,,,
xgboost,38,COMPLETE,0.9522337316256705,0.010275074456790177,"{""colsample_bytree"": 0.7277920384427395, ""gamma"": 0.5729099974474956, ""learning_rate"": 0.022327106075954478, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 300, ""reg_alpha"": 0.023484008410214415, ""reg_lambda"": 0.009065642419288296, ""subsample"": 0.769121587482435}",300.0,0.022327106075954478,5.0,3.0,0.769121587482435,0.7277920384427395,0.5729099974474956,0.023484008410214415,0.009065642419288296,,,,,
xgboost,39,COMPLETE,0.9525998899531254,0.009787087087976772,"{""colsample_bytree"": 0.8293145149634933, ""gamma"": 2.6453930112150132, ""learning_rate"": 0.019290283335438713, ""max_depth"": 7, ""min_child_weight"": 2, ""n_estimators"": 450, ""reg_alpha"": 0.19556010220448183, ""reg_lambda"": 0.10662160568075979, ""subsample"": 0.9311514523508694}",450.0,0.019290283335438713,7.0,2.0,0.9311514523508694,0.8293145149634933,2.6453930112150132,0.19556010220448183,0.10662160568075979,,,,,
catboost,0,COMPLETE,0.9490815492840321,0.011456021812661341,"{""bagging_temperature"": 0.7799726016810132, ""depth"": 7, ""iterations"": 500, ""l2_leaf_reg"": 6.009974718380312, ""learning_rate"": 0.17254716573280354, ""random_strength"": 0.7800932022121826}",,0.17254716573280354,,,,,,,,500.0,7.0,6.009974718380312,0.7800932022121826,0.7799726016810132
catboost,1,COMPLETE,0.9482613754543703,0.008842254504181992,"{""bagging_temperature"": 4.8495492608099715, ""depth"": 7, ""iterations"": 200, ""l2_leaf_reg"": 8.341106432362084, ""learning_rate"": 0.13394334706750485, ""random_strength"": 0.10292247147901223}",,0.13394334706750485,,,,,,,,200.0,7.0,8.341106432362084,0.10292247147901223,4.8495492608099715
catboost,2,COMPLETE,0.9453571274330136,0.01369712588869731,"{""bagging_temperature"": 2.6237821581611893, ""depth"": 4, ""iterations"": 900, ""l2_leaf_reg"": 1.7322667470546256, ""learning_rate"": 0.018891200276189388, ""random_strength"": 1.5212112147976886}",,0.018891200276189388,,,,,,,,900.0,4.0,1.7322667470546256,1.5212112147976886,2.6237821581611893
catboost,3,COMPLETE,0.9458812297929317,0.014407615783941443,"{""bagging_temperature"": 1.8318092164684585, ""depth"": 7, ""iterations"": 550, ""l2_leaf_reg"": 1.5187479226722465, ""learning_rate"": 0.023927528765580644, ""random_strength"": 1.4607232426760908}",,0.023927528765580644,,,,,,,,550.0,7.0,1.5187479226722465,1.4607232426760908,1.8318092164684585
catboost,4,COMPLETE,0.9496601332408865,0.010316175973350078,"{""bagging_temperature"": 0.23225206359998862, ""depth"": 4, ""iterations"": 550, ""l2_leaf_reg"": 4.666963767236923, ""learning_rate"": 0.10508421338691762, ""random_strength"": 2.9620728443102124}",,0.10508421338691762,,,,,,,,550.0,4.0,4.666963767236923,2.9620728443102124,0.23225206359998862
catboost,5,COMPLETE,0.9371742646945496,0.01599096572244477,"{""bagging_temperature"": 4.041986740582305, ""depth"": 4, ""iterations"": 700, ""l2_leaf_reg"": 17.16044502975481, ""learning_rate"": 0.016666983286066417, ""random_strength"": 4.828160165372797}",,0.016666983286066417,,,,,,,,700.0,4.0,17.16044502975481,4.828160165372797,4.041986740582305
